,title,user_Score,release_Date,console,publisher,developer,tot_ship,tot_sale,na_sale,pal_sale,keydata,other_sale,last_update,VGscore
9073,Arcade Shooting Gallery    ,N/A  ,09th Nov 08  ,Wii,Zoo Games  ,CyberPlanet Interactive  ,,0.19m,0.18m,,0.19m,0.01m,,N/A  
9074,IL-2 Sturmovik: Birds of Prey    ,N/A  ,08th Sep 09  ,PSP,505 Games  ,SME Dynamic Systems Limited  ,,0.19m,0.08m,0.07m,0.19m,0.04m,,N/A  
9075,Mystery Tales of Time Travel    ,N/A  ,10th Dec 10  ,DS,O-Games  ,Most Wanted Entertainment  ,,0.19m,0.01m,0.15m,0.19m,0.02m,,N/A  
9076,LEGO Marvel's Avengers    ,N/A  ,26th Jan 16  ,PSV,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,0.19m,0.03m,0.12m,0.19m,0.04m,06th Apr 18,N/A  
9077,Dengeki Bunko Fighting Climax    ,N/A  ,06th Oct 15  ,PS3,Sega  ,Sega  ,,0.19m,0.07m,0.00m,0.19m,0.02m,,N/A  
9078,Frogger's Adventures 2: The Lost Wand    ,N/A  ,05th Nov 02  ,GBA,Konami  ,Konami  ,,0.19m,0.14m,0.05m,0.19m,0.00m,,N/A  
9079,Sudeki    ,N/A  ,20th Jul 04  ,XB,Microsoft Game Studios  ,Climax Group  ,,0.19m,0.14m,0.04m,0.19m,0.01m,25th Sep 18,N/A  
9080,Ice Age: Dawn of the Dinosaurs    ,N/A  ,30th Jun 09  ,PS3,Activision  ,Eurocom Entertainment Software  ,,0.19m,0.13m,0.04m,0.19m,0.02m,,6.9
9081,"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu    ",N/A  ,02nd Jul 09  ,PSP,Sony Computer Entertainment  ,Millennium Kitchen  ,,0.19m,,,0.19m,,,N/A  
9082,AeroFighters Assault    ,N/A  ,30th Oct 97  ,N64,Victory Lap Games  ,Paradigm Entertainment  ,,0.19m,0.15m,0.04m,0.19m,0.00m,,N/A  
9083,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales)    ,N/A  ,20th Dec 96  ,N64,Imagineer  ,Genki  ,,0.19m,,,0.19m,0.00m,,N/A  
9084,Hexen    ,N/A  ,31st May 97  ,N64,GT Interactive  ,Software Creations  ,,0.19m,0.15m,0.04m,0.19m,0.00m,,N/A  
9085,Kamaitachi no Yoru × 3    ,N/A  ,27th Jul 06  ,PS2,Sega  ,ChunSoft  ,0.19m,,,,0.19m,,,N/A  
9086,Mace: The Dark Age    ,N/A  ,01st Oct 97  ,N64,Midway Games  ,Atari  ,,0.19m,0.15m,0.04m,0.19m,0.00m,,N/A  
9087,Puyo Puyo 7    ,N/A  ,30th Jul 09  ,DS,Sega  ,Sega  ,0.19m,,,,0.19m,,,N/A  
9088,Puyo Puyo Sun 64    ,N/A  ,31st Oct 97  ,N64,Compile  ,Compile  ,,0.19m,,,0.19m,0.03m,,N/A  
9089,Quake    ,N/A  ,24th Mar 98  ,N64,Midway Games  ,Midway Studios San Diego  ,,0.19m,0.15m,0.04m,0.19m,0.00m,,N/A  
9090,Sesame Street: Elmo's Number Journey    ,N/A  ,30th Nov 99  ,N64,NewKidCo  ,Realtime Associates  ,,0.19m,0.15m,0.04m,0.19m,0.00m,,N/A  
9091,Hard Room    ,N/A  ,N/A  ,PC,Unknown  ,Evgeny Shcherbakov  ,0.19m,,,,0.19m,,01st Mar 19,N/A  
9092,Tottadoo! Yoiko no Mujintou Seikatsu    ,N/A  ,03rd Apr 08  ,DS,Namco Bandai  ,Bandai Namco Games  ,,0.19m,,,0.19m,,,N/A  
9093,Teenage Mutant Ninja Turtles 2: Battle Nexus    ,N/A  ,19th Oct 04  ,GC,Konami  ,Konami  ,,0.19m,0.15m,0.04m,0.19m,0.01m,,N/A  
9094,Barbie Horse Adventures: Riding Camp    ,N/A  ,21st Oct 08  ,PS2,Activision  ,Pixel Tales  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9095,SSX Tricky    ,N/A  ,31st Oct 02  ,GBA,EA Sports BIG   ,Visual Impact  ,,0.19m,0.14m,0.05m,0.19m,0.00m,,N/A  
