,metascore,title,console,date,Global_Sales,User_Score
1445,81,NHL Hitz 20-03,XBOX, 2002,0.08,84.0
1446,82,NHL Hitz 20-03,GC, 2002,0.08,84.0
1447,82,NHL Hitz 20-03,PS2, 2002,0.08,84.0
1448,87,BlazBlue: Calamity Trigger,PS3, 2009,0.36,85.0
1449,86,BlazBlue: Calamity Trigger,X360, 2009,0.36,85.0
1450,66,Agatha Christie: The ABC Murders,PC, 2016,0.02,85.0
1451,53,Agatha Christie: The ABC Murders,DS, 2009,0.02,85.0
1452,82,Syberia,PC, 2002,0.03,85.0
1453,76,Syberia,Switch, 2017,0.03,85.0
1454,50,Syberia,PS3, 2014,0.03,85.0
1455,72,Syberia,XBOX, 2003,0.03,85.0
1456,70,Harvest Moon: Another Wonderful Life,GC, 2005,0.24,92.0
1457,73,Syphon Filter 3,PS, 2001,0.52,85.0
1458,75,Dragon Ball: Advanced Adventure,GBA, 2006,0.04,85.0
1459,62,Spider-Man: Friend or Foe,PS2, 2007,0.01,53.0
1460,59,Spider-Man: Friend or Foe,WII, 2007,0.01,53.0
1461,60,Spider-Man: Friend or Foe,X360, 2007,0.01,53.0
1462,57,Spider-Man: Friend or Foe,PC, 2007,0.01,53.0
1463,58,Spider-Man: Friend or Foe,PSP, 2007,0.01,53.0
1464,79,Trauma Center: Under the Knife 2,DS, 2008,0.11,85.0
1465,85,The Talos Principle,PC, 2014,0.03,84.0
1466,88,The Talos Principle,PS4, 2015,0.03,84.0
1467,78,Hotel Dusk: Room 215,DS, 2007,0.54,86.0
1468,75,Armored Core 2: Another Age,PS2, 2001,0.41,88.0
1469,81,Patapon 2,PSP, 2009,0.1,83.0
1470,78,Naruto: Rise of a Ninja,X360, 2007,0.33,86.0
1471,68,Kung Fu Chaos,XBOX, 2003,0.28,85.0
1472,75,Dreamfall: The Longest Journey,PC, 2006,0.04,88.0
1473,73,Dreamfall: The Longest Journey,XBOX, 2006,0.04,88.0
1474,68,Sigma Star Saga,GBA, 2005,0.05,82.0
1475,65,Eternal Poison,PS2, 2008,0.14,82.0
1476,76,MX 2002 Featuring Ricky Carmichael,PS2, 2001,0.56,83.0
1477,77,Monster Rancher 3,PS2, 2001,0.36,85.0
1478,76,Mega Man Legends 2,PS, 2000,0.42,88.0
1479,79,Harvest Moon: A Wonderful Life,GC, 2004,0.79,89.0
1480,84,Monster Hunter Tri,WII, 2010,2.22,86.0
1481,79,Metal Slug Advance,GBA, 2004,0.08,83.0
1482,87,Dragon Quest IX: Sentinels of the Starry Skies,DS, 2010,5.78,88.0
1483,79,NBA Live 2005,PC, 2004,0.45,67.0
1484,84,NBA Live 2005,PS2, 2004,0.45,67.0
1485,85,NBA Live 2005,XBOX, 2004,0.45,67.0
1486,83,NBA Live 2005,GC, 2004,0.45,67.0
1487,59,Frogger's Adventures: The Rescue,PS2, 2003,0.32,85.0
1488,91,Castlevania: Circle of the Moon,GBA, 2001,0.89,85.0
1489,74,Rocky,PS2, 2002,0.15,73.0
1490,74,Rocky,GC, 2002,0.15,73.0
1491,74,Rocky,XBOX, 2002,0.15,73.0
1492,90,NCAA Football 2002,PS2, 2001,1.57,87.0
1493,80,The Legend of Heroes: Trails of Cold Steel II,VITA, 2016,0.15,78.0
1494,89,Sonic Adventure 2,DC, 2001,0.12,86.0
1495,60,Sonic Adventure 2,X360, 2012,0.12,86.0
1496,71,Bloody Roar 3,PS2, 2001,0.35,86.0
1497,66,The King of Fighters 2006,PS2, 2006,0.08,86.0
1498,87,Dead or Alive 3,XBOX, 2001,1.77,86.0
1499,67,We Ski,WII, 2008,1.67,85.0
1500,97,Grand Theft Auto III,PS2, 2001,0.01,84.0
1501,93,Grand Theft Auto III,PC, 2002,0.01,84.0
1502,83,Baldur's Gate: Dark Alliance,XBOX, 2002,0.03,65.0
1503,87,Baldur's Gate: Dark Alliance,PS2, 2001,0.03,65.0
1504,79,Baldur's Gate: Dark Alliance,GC, 2002,0.03,65.0
1505,76,Baldur's Gate: Dark Alliance,GBA, 2004,0.03,65.0
1506,71,Suzuki TT Superbikes,PS2, 2005,0.4,85.0
1507,70,From Russia With Love,GC, 2005,0.08,69.0
1508,71,From Russia With Love,XBOX, 2005,0.08,69.0
1509,69,From Russia With Love,PS2, 2005,0.08,69.0
1510,61,From Russia With Love,PSP, 2006,0.08,69.0
1511,85,Prince of Persia: The Two Thrones,PS2, 2005,0.15,81.0
1512,85,Prince of Persia: The Two Thrones,XBOX, 2005,0.15,81.0
1513,85,Prince of Persia: The Two Thrones,PC, 2005,0.15,81.0
1514,84,Prince of Persia: The Two Thrones,GC, 2005,0.15,81.0
1515,67,One Piece: Unlimited Adventure,WII, 2008,0.19,85.0
1516,83,Bully: Scholarship Edition,WII, 2008,0.03,75.0
1517,80,Bully: Scholarship Edition,X360, 2008,0.03,75.0
1518,72,Bully: Scholarship Edition,PC, 2008,0.03,75.0
1519,81,Monster Hunter Freedom Unite,PSP, 2009,5.48,87.0
1520,86,Luigi's Mansion: Dark Moon,3DS, 2013,4.59,84.0
1521,83,Steel Battalion,XBOX, 2002,0.1,85.0
1522,67,The King of Fighters Collection: The Orochi Saga,PS2, 2008,0.07,70.0
1523,61,The King of Fighters Collection: The Orochi Saga,PSP, 2008,0.07,70.0
1524,86,SoulCalibur III,PS2, 2005,1.07,84.0
1525,85,LocoRoco 2,PSP, 2009,0.35,84.0
1526,92,Madden NFL 2003,GC, 2002,0.43,85.0
1527,92,Madden NFL 2003,XBOX, 2002,0.43,85.0
1528,89,Madden NFL 2003,PC, 2002,0.43,85.0
1529,95,Madden NFL 2003,PS2, 2002,0.43,85.0
1530,86,God of War: Ghost of Sparta,PSP, 2010,1.0,84.0
1531,82,Ape Escape 2,PS2, 2003,0.63,84.0
1532,70,Mana Khemia 2: Fall of Alchemy,PS2, 2009,0.2,82.0
1533,75,Kessen,PS2, 2000,0.95,84.0
1534,80,FIFA Soccer 09 All-Play,WII, 2008,0.89,84.0
1535,84,Return to Castle Wolfenstein: Tides of War,XBOX, 2003,0.67,88.0
1536,71,Monster Hunter Freedom,PSP, 2006,1.34,86.0
1537,72,Excite Truck,WII, 2006,0.53,84.0
1538,58,Darkstone,PS, 2001,0.66,83.0
1539,79,Sky Odyssey,PS2, 2000,0.32,84.0
1540,74,Tokyo Jungle,PS3, 2012,0.26,84.0
1541,73,Ultimate Mortal Kombat,DS, 2007,0.09,86.0
1542,83,Homeworld 2,PC, 2003,0.03,83.0
1543,77,Guilty Gear XX Accent Core,PS2, 2007,0.04,84.0
1544,75,Guilty Gear XX Accent Core,WII, 2007,0.04,84.0
1545,78,ATV Offroad Fury 3,PS2, 2004,1.2,84.0
1546,83,High Heat Major League Baseball 2004,XBOX, 2003,0.08,84.0
1547,83,High Heat Major League Baseball 2004,PS2, 2003,0.08,84.0
1548,49,Stunt GP,PS2, 2001,0.05,81.0
1549,61,Neopets: The Darkest Faerie,PS2, 2005,0.3,85.0
1550,62,Kengo: Master of Bushido,PS2, 2001,0.39,84.0
1551,78,Bejeweled 3,X360, 2011,0.08,81.0
1552,82,Bejeweled 3,PC, 2010,0.08,81.0
1553,75,Shadow of Rome,PS2, 2005,0.27,83.0
1554,75,Area 51,PS2, 2005,0.29,81.0
1555,72,Area 51,XBOX, 2005,0.29,81.0
1556,67,Area 51,PC, 2005,0.29,81.0
1557,74,Robotech: Battlecry,GC, 2002,0.16,84.0
1558,72,Robotech: Battlecry,PS2, 2002,0.16,84.0
1559,74,Robotech: Battlecry,XBOX, 2002,0.16,84.0
1560,84,NCAA College Basketball 2K3,XBOX, 2002,0.14,84.0
1561,83,NCAA College Basketball 2K3,PS2, 2002,0.14,84.0
1562,84,MotoGP,XBOX, 2002,0.03,71.0
1563,69,MotoGP,PSP, 2006,0.03,71.0
1564,77,MotoGP,PS2, 2000,0.03,71.0
