,console,date,metascore,name,tot_sale,userscore
185,DS,2006,47.0,LEGO Star Wars II: The Original Trilogy,1.07,50.0
186,DS,2010,79.0,Golden Sun: Dark Dawn,0.78,81.0
187,DS,2005,65.0,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.18,75.0
188,DS,2008,64.0,Exit DS,0.1,67.0
189,DS,2008,63.0,Sands of Destruction,0.23,79.0
190,DS,2006,71.0,Kirby Squeak Squad,1.94,81.0
191,DS,2008,69.0,The Dark Spire,0.04,77.0
192,DS,2007,75.0,Call of Duty 4: Modern Warfare,1.05,69.0
193,DS,2009,79.0,Scribblenauts,2.16,76.0
194,DS,2010,69.0,The Last Airbender,0.18,70.0
195,DS,2008,59.0,Major League Baseball 2K8 Fantasy All-Stars,0.12,70.0
196,DS,2009,70.0,Need for Speed: Nitro,0.38,63.0
197,DS,2008,80.0,LEGO Indiana Jones: The Original Adventures,2.2,79.0
198,DS,2004,60.0,Asphalt: Urban GT,0.59,75.0
199,DS,2007,61.0,WWE SmackDown vs Raw 2008,0.12,66.0
200,DS,2010,83.0,Ghost Trick: Phantom Detective,0.38,90.0
201,DS,2005,88.0,Meteos,0.23,75.0
202,DS,2009,82.0,WarioWare D.I.Y.,0.59,87.0
203,DS,2006,85.0,Metroid Prime Hunters,0.76,80.0
204,DS,2009,70.0,Atelier Annie: Alchemists of Sera Island,0.12,67.0
205,DS,2009,36.0,Teenage Mutant Ninja Turtles: Arcade Attack,0.13,48.0
206,DS,2008,71.0,Avalon Code,0.24,74.0
207,DS,2007,70.0,Luminous Arc,0.24,70.0
208,DS,2007,67.0,Purr Pals,0.55,68.0
209,DS,2010,56.0,Percy Jackson and the Olympians: The Lightning Thief,0.24,69.0
210,DS,2007,35.0,Fantastic Four: Rise of the Silver Surfer,0.04,48.0
211,DS,2006,43.0,Justice League Heroes,0.09,57.0
212,DS,2005,70.0,Trace Memory,0.29,81.0
213,DS,2009,55.0,C.O.P.: The Recruit,0.08,75.0
214,DS,2008,58.0,Assassin's Creed: Altair's Chronicles,0.05,63.0
215,DS,2008,31.0,Toy Shop,0.03,54.0
216,DS,0,70.0,Shrek the Third,0.3,65.0
217,DS,2005,71.0,Electroplankton,0.03,70.0
218,DS,2006,87.0,Elite Beat Agents,0.36,86.0
219,DS,2005,59.0,Lunar: Dragon Song,0.12,62.0
220,DS,2010,74.0,Call of Duty: Black Ops,0.58,60.0
221,DS,2010,72.0,LEGO Harry Potter: Years 1-4,2.28,72.0
222,DS,2007,56.0,The Legend of Spyro: The Eternal Night,0.37,27.0
223,DS,2008,69.0,Tom Clancy's EndWar,0.09,58.0
224,DS,2008,61.0,Theresia...,0.06,80.0
225,DS,2006,68.0,The Legend of Spyro: A New Beginning,0.37,68.0
226,DS,2006,77.0,Final Fantasy III,2.08,71.0
227,DS,2005,71.0,Nanostray,0.06,77.0
